ID	chrom	loc.start	loc.end	num.mark	seg.mean
X38	chr6	62692998	157100838	512	-0.127
X38	chr6	157315488	170949159	96	0.3612
X38	chr7	246840	23169128	159	-0.0841
X38	chr7	23181443	23429957	5	-0.7562
X38	chr7	23530537	25266147	15	0.7282
X38	chr7	25989572	32920763	77	-0.1142
X38	chr7	32969607	34070003	6	0.6464
X38	chr7	34648659	36658305	16	-0.0748
X38	chr7	36858929	38547236	31	0.7771
X38	chr7	38695509	75932736	267	-0.0668
X38	chr7	75972232	159025096	756	0.3677
X38	chr8	116546	35382987	305	-0.7687
X38	chr8	36717744	146279590	651	-0.1068
X38	chr9	13254	12973139	59	-0.7157
X38	chr9	13192646	17319450	18	1.1141
X38	chr9	17688103	21209483	27	1.5385
X38	chr9	21216841	22057936	25	-0.747
X38	chr9	22451289	30832049	22	0.3192
X38	chr9	31254337	34106891	41	1.0499
X38	chr9	34109567	34575420	12	0.3912
X38	chr9	34611292	34690419	8	0.7712
X38	chr9	34709561	34994267	8	0.3361
X38	chr9	35010991	35064653	3	0.7943
X38	chr9	35076922	36823566	47	0.3637
X38	chr9	36864278	71153639	117	-0.0275
X38	chr9	71396786	136330529	578	-0.1172
X38	chr9	136340238	141125040	129	-0.0413
X38	chrX	206506	8095054	42	-0.0027
X38	chrX	8138648	8433710	2	0.9673
X38	chrX	8598571	155256585	1177	-0.1049
X38	chrY	2655318	59001513	175	-0.0997
X1.1	chr1	13140	68631472	976	0.0318
X1.1	chr1	68649247	120846718	400	-0.0711
X1.1	chr1	120904882	149676293	88	0.0661
X1.1	chr1	149759150	149859242	14	0.5337
X1.1	chr1	149865895	152552418	84	0.0945
X1.1	chr1	152573350	152628616	4	-0.6458
X1.1	chr1	152636503	249207270	1081	0.0359
X1.1	chr10	106465	135515797	1146	-0.1523
X1.1	chr11	87117	49920278	596	0.0048
X1.1	chr11	49942415	61548123	238	-0.1329
X1.1	chr11	61560000	62682715	51	0.0127
X1.1	chr11	62728156	63642445	17	-0.1462
X1.1	chr11	63681504	67288641	157	0.1299
X1.1	chr11	67352598	123909245	538	0.0099
X1.1	chr11	123925995	123976241	3	0.8937
X1.1	chr11	124002248	134265105	108	0.0353
X1.1	chr12	92834	53579540	545	0.0172
X1.1	chr12	53593096	62997508	190	0.1029
X1.1	chr12	63052804	133803789	546	0.0145
X1.1	chr13	19050450	115097228	720	-0.0069
X1.1	chr14	19401796	31152527	317	-0.0535
X1.1	chr14	31353995	50044311	86	-0.1421
X1.1	chr14	50053446	50067001	3	0.4374
X1.1	chr14	50073402	106370554	647	-0.1479
X1.1	chr14	106373084	107283036	101	-0.0606
X1.1	chr15	20170136	102518028	952	0.0072
X1.1	chr16	62823	3067392	158	0.0557
X1.1	chr16	3070415	29467681	269	-0.0784
X1.1	chr16	29471347	31144919	80	0.0656
X1.1	chr16	31155830	68037595	272	-0.0969
X1.1	chr16	68056474	90206715	236	0.023
X1.1	chr17	18618	6807303	150	0.0834
X1.1	chr17	6906719	8140776	84	0.2065
X1.1	chr17	8162372	81045215	1216	0.0407
X1.1	chr18	84355	77960272	398	0.0023
X1.1	chr19	65865	19877703	649	0.0855
X1.1	chr19	19914604	34984566	103	-0.0784
X1.1	chr19	35024660	45477220	341	0.0755
X1.1	chr19	45523070	54276147	400	-0.0533
X1.1	chr19	54290962	59098019	200	0.0719
X1.1	chr2	42842	243062105	1749	0.014
X1.1	chr20	72813	47874723	547	0.0276
X1.1	chr20	47895521	47900256	4	0.6452
X1.1	chr20	48039799	62933111	181	0.0282
X1.1	chr21	9825921	48110916	387	0.0266
X1.1	chr22	16112745	51217556	691	0.0372
X1.1	chr3	344684	197951774	1579	0.0087
X1.1	chr4	70639	191012789	1055	-6e-04
X1.1	chr5	165229	180794766	1127	0.0181
X1.1	chr6	106387	25857904	167	0.0268
X1.1	chr6	25882438	26322312	39	0.3381
X1.1	chr6	26371966	27491486	27	0.1361
X1.1	chr6	27748644	27861436	18	0.3052
X1.1	chr6	27879568	33145367	284	0.1018
X1.1	chr6	33164997	33385156	20	0.2169
X1.1	chr6	33404656	170949159	897	0.0167
X1.1	chr7	246840	54823805	409	0.1536
X1.1	chr7	55205513	55252035	2	4.6237
X1.1	chr7	55327725	159025096	921	0.1553
X1.1	chr8	116546	146279590	956	0.0025
X1.1	chr9	13254	30832049	151	-0.1374
X1.1	chr9	31254337	141125040	943	0.0228
X1.1	chrX	206506	155256585	1221	-0.0024
X1.1	chrY	2655318	59001513	175	-0.3867
X2.1	chr1	13140	11051444	168	-0.1672
X2.1	chr1	11079105	13476105	55	0.0236
X2.1	chr1	13496757	19016430	75	-0.1956
X2.1	chr1	19176134	67884795	671	0.0154
X2.1	chr1	68126267	70385502	14	-0.3622
X2.1	chr1	70640895	148644403	467	-0.0361
X2.1	chr1	148736888	162346649	427	0.0363
X2.1	chr1	162373492	216375072	458	-0.0374
X2.1	chr1	216993842	249207270	312	-0.0763
X2.1	chr10	106465	122282916	1028	-0.2736
X2.1	chr10	122358675	126763080	42	-0.0051
X2.1	chr10	126855376	133000319	31	-0.23
X2.1	chr10	133760643	135515797	45	0.1018
X2.1	chr11	87117	2933713	101	0.0938
X2.1	chr11	2950094	19296451	300	-0.0304
X2.1	chr11	19404296	19526497	2	0.8911
X2.1	chr11	19536940	60418915	398	-0.0276
X2.1	chr11	60475165	62065145	48	0.0823
X2.1	chr11	62098851	62181621	4	-0.1486
X2.1	chr11	62262361	67503554	216	0.0868
X2.1	chr11	67556275	67693512	3	0.37
X2.1	chr11	67742235	69980021	29	0.0855
X2.1	chr11	70034254	134265105	607	-0.0197
X2.1	chr12	92834	7296917	113	0.0291
X2.1	chr12	7356225	48078457	284	-0.0418
X2.1	chr12	48111433	64216738	349	0.0363
X2.1	chr12	64265671	107665397	257	-0.0585
X2.1	chr12	107882804	133803789	278	0.0268
X2.1	chr13	19050450	62811155	430	-0.0282
X2.1	chr13	62900378	62980620	3	-0.9408
X2.1	chr13	63276455	115097228	287	-0.0454
X2.1	chr14	19401796	101391195	866	-0.0177
X2.1	chr14	101393714	101459610	38	-0.1988
X2.1	chr14	101488428	105006499	86	0.0363
X2.1	chr14	105051436	106373084	64	0.171
X2.1	chr14	106375774	107283036	100	-0.0051
X2.1	chr15	20170136	32742571	212	-0.0207
X2.1	chr15	32890918	50312724	204	-0.0987
X2.1	chr15	50501492	102518028	536	0.0085
X2.1	chr16	62823	90206715	1015	0.0527
X2.1	chr17	18618	81045215	1450	0.0385
X2.1	chr18	84355	77960272	398	-0.0386
X2.1	chr19	65865	19653262	641	0.2425
X2.1	chr19	19699062	35426940	121	0.1212
X2.1	chr19	35451105	52221806	619	0.2397
X2.1	chr19	52264529	54260039	107	0.1306
X2.1	chr19	54261529	56203908	103	0.2629
X2.1	chr19	56234783	58821869	83	0.1707
X2.1	chr19	58846041	59098019	19	0.2615
X2.1	chr2	42842	149983198	1066	-0.0139
X2.1	chr2	150177528	208546535	366	-0.0719
X2.1	chr2	208601413	243062105	317	0.0197
X2.1	chr20	72813	60962874	661	0.23
X2.1	chr20	60973014	62721761	66	0.3596
X2.1	chr20	62737848	62933111	5	0.176
X2.1	chr21	9825921	48110916	387	-0.0276
X2.1	chr22	16112745	24344043	276	0.0371
X2.1	chr22	24348619	24380406	3	-0.6037
X2.1	chr22	24393918	51217556	412	0.0459
X2.1	chr3	344684	21937363	168	-0.0099
X2.1	chr3	22002689	22946134	3	-0.5817
X2.1	chr3	23032193	44859038	186	-0.0255
X2.1	chr3	44903426	52590641	201	0.06
X2.1	chr3	52649650	197951774	1021	-0.0306
X2.1	chr4	70639	11413081	162	0.0877
X2.1	chr4	13337659	49026181	144	-0.0361
X2.1	chr4	49235644	52731458	4	0.691
X2.1	chr4	52746084	190989601	738	-0.0441
X2.1	chr4	190992992	191012789	7	0.2222
X2.1	chr5	165229	15935330	78	0.0204
X2.1	chr5	16124059	131524535	533	-0.0595
X2.1	chr5	131579269	180794766	516	0.0078
X2.1	chr6	106387	29499271	305	-0.0137
X2.1	chr6	29506022	44274227	434	0.0363
X2.1	chr6	44327650	170949159	713	-0.0355
X2.1	chr7	246840	159025096	1332	0.1262
X2.1	chr8	116546	11891638	126	0.0166
X2.1	chr8	11967461	11990939	2	-1.0177
X2.1	chr8	11990994	144449759	751	-0.0297
X2.1	chr8	144458723	145832878	65	0.1252
X2.1	chr8	145964050	146279590	12	0.0274
X2.1	chr9	13254	15527406	72	4e-04
X2.1	chr9	15588483	21187107	28	-0.2288
X2.1	chr9	21190948	21512149	21	-0.0165
X2.1	chr9	21696058	30774096	28	-0.6259
X2.1	chr9	30800106	33548699	25	-0.2562
X2.1	chr9	33576695	70918638	210	0.0026
X2.1	chr9	70971436	99529279	187	-0.2828
X2.1	chr9	99608329	130453020	267	0.03
X2.1	chr9	130471204	141125040	256	0.1144
X2.1	chrX	206506	155256585	1221	-0.0586
X2.1	chrY	2655318	59001513	175	-0.5566
X30	chr1	13140	753982	10	-0.2236
X30	chr1	762244	121285867	1371	-0.6592
X30	chr1	142660383	145330037	18	-0.1825
X30	chr1	145415320	152487732	161	-0.0314
X30	chr1	152538689	153113076	32	-0.217
X30	chr1	153122701	247769347	1001	-0.0166
X30	chr1	247835842	249207270	54	-0.1604
X30	chr10	106465	135515797	1146	-0.0061
X30	chr11	87117	134265105	1708	0.3433
X30	chr12	92834	133803789	1281	-0.0096
X30	chr13	19050450	115097228	720	-0.0893
X30	chr14	19401796	107283036	1154	-0.0247
X30	chr15	20170136	102518028	952	-0.0177
X30	chr16	62823	90206715	1015	-0.0191
X30	chr17	18618	81045215	1450	-0.0187
X30	chr18	84355	77960272	398	-0.3908
X30	chr19	65865	24345699	703	-0.018
X30	chr19	28230168	59098019	990	-0.67
X30	chr2	42842	243062105	1749	-0.0095
X30	chr20	72813	62933111	732	-0.0299
X30	chr21	9825921	48110916	387	-0.047
X30	chr22	16112745	51217556	691	-0.0185
X30	chr3	344684	197951774	1579	-0.0111
X30	chr4	70639	191012789	1055	-0.0131
X30	chr5	165229	6585430	44	-0.0983
X30	chr5	6616378	178498977	1041	-0.0078
X30	chr5	178655141	180794766	42	-0.1106
X30	chr6	106387	170949159	1452	-0.0227
X30	chr7	246840	159025096	1332	0.3546
X30	chr8	116546	146279590	956	0.3443
X30	chr9	13254	141125040	1094	-0.0253
X30	chrX	206506	155256585	1221	-0.0133
X30	chrY	2655318	59001513	175	-0.0096
X36	chr1	13140	809200	14	-0.4954
X36	chr1	870107	1769612	51	0.0983
X36	chr1	1847500	8930184	72	-0.8481
X36	chr1	8936956	8953839	3	-1.9931
X36	chr1	9020538	9836834	12	-0.6882
X36	chr1	9939364	15184869	82	-0.0434
X36	chr1	15460704	15987290	14	0.4165
X36	chr1	16036045	16809841	23	-0.0235
X36	chr1	16865815	17185480	12	-0.6258
X36	chr1	17304163	36298632	310	-0.0394
X36	chr1	36365310	37627199	18	0.3907
X36	chr1	37930246	55691355	288	-0.0668
X36	chr1	55833793	78294707	124	-0.2418
X36	chr1	78313641	82188065	20	-0.6094
X36	chr1	84397772	104112735	142	-0.1836
X36	chr1	104164200	104297170	5	-1.6176
X36	chr1	107600591	120533208	185	-0.1495
X36	chr1	120846718	145330037	24	-0.6099
X36	chr1	145415320	145705706	15	0.0503
X36	chr1	145745496	146543501	11	-0.4998
X36	chr1	146635407	147601980	12	-0.1269
X36	chr1	147604657	149859242	41	-0.588
X36	chr1	149865895	152384229	80	-0.0646
X36	chr1	152483986	152681301	13	-0.7694
X36	chr1	152692451	153113076	21	-0.2998
X36	chr1	153122701	162346649	285	0.0178
X36	chr1	162373492	244217681	682	-0.1348
X36	chr1	244534451	247400714	25	-1.1137
X36	chr1	247419909	247902389	13	-0.653
X36	chr1	247921329	248004726	6	-1.0501
X36	chr1	248031004	248129088	6	-0.6953
X36	chr1	248138499	248487396	16	-1.0523
X36	chr1	248512546	249207270	22	-0.0347
X36	chr10	106465	135515797	1146	-0.7669
X36	chr11	87117	4254807	129	-0.0908
X36	chr11	4263578	4360184	5	-1.2041
X36	chr11	4389054	9111892	172	0.065
X36	chr11	9116823	31980620	142	-0.1891
X36	chr11	32106957	47537308	106	0.0301
X36	chr11	47590997	48267115	14	0.5091
X36	chr11	48285871	48510800	9	-0.0064
X36	chr11	48518366	55522942	56	-0.5715
X36	chr11	55541386	71199654	480	-0.0486
X36	chr11	71238761	71614683	16	-0.6242
X36	chr11	71674195	88048857	139	-0.0685
X36	chr11	88141869	90602329	27	-0.7434
X36	chr11	90848505	112138553	153	-0.0655
X36	chr11	112990577	122726277	119	0.1688
X36	chr11	122791948	134265105	141	-0.1048
X36	chr12	92834	8315933	133	0.4192
X36	chr12	8350776	48078457	264	0.2028
X36	chr12	48111433	56310799	242	0.4028
X36	chr12	56334457	57734090	55	0.5651
X36	chr12	57836577	58343188	29	0.9255
X36	chr12	58638404	133803789	558	0.3063
X36	chr13	19050450	115097228	720	-0.2668
X36	chr14	19401796	20404304	23	-1.1273
X36	chr14	20425243	22907542	125	-0.0157
X36	chr14	22908003	23013047	65	0.3558
X36	chr14	23014011	25399182	91	0.0332
X36	chr14	25736406	60625868	205	-0.2715
X36	chr14	60646417	101405930	362	-0.0778
X36	chr14	101407501	101459610	33	-0.4291
X36	chr14	101488428	101532288	39	0.3779
X36	chr14	101533099	106437088	120	-0.0513
X36	chr14	106452920	106780765	31	-0.7587
X36	chr14	106787586	106825257	7	-1.7501
X36	chr14	106829835	107283036	53	-0.8397
X36	chr15	20170136	22156806	30	-0.4409
X36	chr15	22297989	22675194	12	-1.6794
X36	chr15	22692108	22741124	4	-0.7451
X36	chr15	22783843	23198232	6	-0.1584
X36	chr15	23262032	23608567	9	-0.848
X36	chr15	23688513	25324250	27	-0.1052
X36	chr15	25325334	25339229	9	-0.4492
X36	chr15	25342855	25414653	6	-0.0841
X36	chr15	25415910	31092491	94	-0.5738
X36	chr15	31121915	64013479	320	-0.1499
X36	chr15	64163173	64713724	9	0.4662
X36	chr15	64821368	82638418	237	-0.1007
X36	chr15	82679818	83201647	17	-0.6056
X36	chr15	83207409	102518028	172	-0.1373
X36	chr16	62823	31819706	529	-0.0676
X36	chr16	31875575	33961777	33	-1.1374
X36	chr16	33965501	55361172	68	-0.3015
X36	chr16	55482107	90110175	382	-0.023
X36	chr16	90140727	90206715	3	-0.9629
X36	chr17	18618	8275992	240	-0.0233
X36	chr17	8283684	21301344	190	-0.1553
X36	chr17	21348448	21408134	2	-1.717
X36	chr17	21452886	27043373	42	-0.1492
X36	chr17	27047601	27910779	28	0.5043
X36	chr17	27929283	39436959	242	-0.1739
X36	chr17	39458590	39659595	16	-0.0221
X36	chr17	39674388	40150922	21	0.51
X36	chr17	40170529	40692328	18	0.1103
X36	chr17	40699753	70865469	423	-0.0209
X36	chr17	71159336	81045215	228	0.1276
X36	chr18	84355	77960272	398	-0.2331
X36	chr19	65865	202767	6	-0.5076
X36	chr19	286216	1032683	35	0.3621
X36	chr19	1052836	1584760	27	0.8255
X36	chr19	1601325	11700069	319	0.4363
X36	chr19	11773986	12649270	27	-0.076
X36	chr19	12671152	19877703	235	0.4635
X36	chr19	19914604	24264465	53	-0.7125
X36	chr19	24345699	43038421	309	0.3778
X36	chr19	43065243	43807999	23	-0.2077
X36	chr19	43862645	44315719	19	0.4693
X36	chr19	44342375	44992215	22	0.1928
X36	chr19	45019770	47284995	86	0.4422
X36	chr19	47313141	47767223	10	0.8885
X36	chr19	47778560	52784400	227	0.4571
X36	chr19	52785098	54276147	95	-0.0216
X36	chr19	54290962	59098019	200	0.3307
X36	chr2	42842	89222056	618	-0.1173
X36	chr2	89231541	95499909	82	-0.6681
X36	chr2	95539876	233509129	940	-0.208
X36	chr2	233636226	234775586	30	-0.8823
X36	chr2	234877104	243062105	79	-0.125
X36	chr20	72813	26089358	249	-0.1375
X36	chr20	26199859	29637929	3	-1.3818
X36	chr20	29846451	62933111	480	-0.0941
X36	chr21	9825921	15439027	32	-0.7513
X36	chr21	15516190	48110916	355	-0.1866
X36	chr22	16112745	17414652	32	-0.5972
X36	chr22	17465969	21941029	114	-0.1468
X36	chr22	21983365	22070978	7	0.7204
X36	chr22	22165379	23200321	78	-0.3035
X36	chr22	23213950	24344043	45	-0.0824
X36	chr22	24348619	24348660	2	-7.2065
X36	chr22	24380406	51217556	413	-0.0378
X36	chr3	344684	45758732	370	-0.0672
X36	chr3	45817484	50667835	141	0.2573
X36	chr3	50712552	185951741	939	-0.0667
X36	chr3	186260360	193855227	63	-0.8576
X36	chr3	194022423	197951774	66	-0.1906
X36	chr4	70639	281787	4	-1.0149
X36	chr4	343993	1398419	26	-0.1143
X36	chr4	1652835	2066027	12	0.422
X36	chr4	2158746	3769163	24	-0.0655
X36	chr4	3891529	4176505	8	-0.6493
X36	chr4	4209573	9213179	50	-0.0941
X36	chr4	9217927	9756962	30	-0.8085
X36	chr4	9784445	17933160	42	-0.2036
X36	chr4	20438533	41531842	72	-0.0164
X36	chr4	41748543	190395232	771	-0.2443
X36	chr4	190873151	191012789	16	-0.9062
X36	chr5	165229	10720363	64	-0.0798
X36	chr5	11438053	127472419	528	-0.2547
X36	chr5	127794239	180794766	535	-0.08
X36	chr6	106387	321492	4	-1.0454
X36	chr6	401593	25857904	163	-0.1466
X36	chr6	25882438	28002179	90	-0.4058
X36	chr6	28014678	31578996	179	-0.2249
X36	chr6	31583879	31804963	33	0.099
X36	chr6	31828059	32177232	33	0.5739
X36	chr6	32293475	44403418	240	-0.0314
X36	chr6	45061372	170949159	710	-0.2305
X36	chr7	246840	2064153	25	0.3742
X36	chr7	2277853	2688010	11	0.9036
X36	chr7	2767145	6659584	43	0.3948
X36	chr7	6685597	42838299	247	0.2175
X36	chr7	42950114	54624395	81	0.3942
X36	chr7	54724239	55327725	5	4.948
X36	chr7	55467288	57472763	33	0.2944
X36	chr7	57521567	62970112	10	-0.505
X36	chr7	63019971	63370087	5	0.5756
X36	chr7	63391932	64852375	20	-0.3373
X36	chr7	65146706	98252894	236	0.2422
X36	chr7	98456252	99834069	50	0.5155
X36	chr7	99912572	99950649	6	0.1426
X36	chr7	99981436	100282100	18	0.8756
X36	chr7	100304397	100961039	26	0.4683
X36	chr7	101104202	142494555	336	0.3231
X36	chr7	142494706	142494949	3	-0.9371
X36	chr7	142495163	143186038	26	0.5065
X36	chr7	143208515	143480568	8	-0.3819
X36	chr7	143573879	159025096	143	0.3187
X36	chr8	116546	11967461	127	-0.259
X36	chr8	11990939	12045623	6	0.5594
X36	chr8	12052882	12244018	3	-2.469
X36	chr8	12254296	12561070	10	-0.8765
X36	chr8	12576670	43369175	226	-0.12
X36	chr8	43395593	48105797	9	-0.6586
X36	chr8	48114293	128750677	421	-0.2423
X36	chr8	128959858	146279590	154	-0.0492
X36	chr9	13254	21696058	122	-0.1994
X36	chr9	21811983	22451289	8	-2.6905
X36	chr9	23758218	27609561	14	-0.9927
X36	chr9	28309179	33985319	47	-0.1335
X36	chr9	34106891	34522038	11	0.5097
X36	chr9	34570775	37766386	81	0.0237
X36	chr9	37784204	70971436	102	-0.3875
X36	chr9	71044600	111754769	281	-0.184
X36	chr9	111808543	137741179	315	-0.0344
X36	chr9	137741371	137741491	2	2.2207
X36	chr9	137742044	141125040	111	-0.0455
X36	chrX	206506	49142117	350	-0.0782
X36	chrX	49168235	49368383	17	-1.1602
X36	chrX	49397527	49596219	4	-0.2252
X36	chrX	49642585	49779248	11	0.4365
X36	chrX	49920913	52270550	24	-0.0763
X36	chrX	52383676	52785467	12	-0.7356
X36	chrX	52826162	153000269	731	-0.0947
X36	chrX	153037226	153417102	17	0.5449
X36	chrX	153435158	153511363	5	-0.4283
X36	chrX	153541362	154028120	28	0.1332
X36	chrX	154045525	155256585	22	-0.2092
X36	chrY	2655318	59001513	175	-0.789
X8.4	chr1	13140	9391265	147	-0.0771
X8.4	chr1	9622389	26645731	288	-0.3504
X8.4	chr1	26664485	29164431	66	0.1075
X8.4	chr1	29330078	68905073	479	-0.0201
X8.4	chr1	68951369	109643028	234	-0.1033
X8.4	chr1	109652526	158424525	549	-0.0146
X8.4	chr1	158435808	159801789	39	0.1609
X8.4	chr1	159814700	248802073	837	-0.0388
X8.4	chr1	248813708	249207270	8	0.2199
X8.4	chr10	106465	2052104	16	0.004
X8.4	chr10	2352273	4706361	9	0.4251
X8.4	chr10	4859537	48157594	337	-0.0682
X8.4	chr10	48172737	48174226	2	-1.217
X8.4	chr10	48193336	89556184	324	-0.0786
X8.4	chr10	89591527	89677278	3	-2.2214
X8.4	chr10	90188954	132760891	409	-0.0747
X8.4	chr10	133000319	133958244	4	-2.1233
X8.4	chr10	134009842	135515797	42	-0.0708
X8.4	chr11	87117	198499	6	0.2914
X8.4	chr11	211312	4158916	121	-0.0788
X8.4	chr11	4168018	6244253	116	0.1091
X8.4	chr11	6260827	134265105	1465	-0.036
X8.4	chr12	92834	50066836	456	-0.0619
X8.4	chr12	50130112	50627960	17	-0.7092
X8.4	chr12	50755209	55524025	128	-0.0444
X8.4	chr12	55588118	56005872	24	0.1813
X8.4	chr12	56031141	133803789	656	-0.0412
X8.4	chr13	19050450	115097228	720	-0.0561
X8.4	chr14	19401796	25077295	302	-0.0065
X8.4	chr14	25101816	61117555	215	-0.1142
X8.4	chr14	61183656	104257008	463	-0.0381
X8.4	chr14	104319222	106934312	135	-0.1536
X8.4	chr14	106957722	107122328	22	-0.0019
X8.4	chr14	107131296	107273976	14	0.3024
X8.4	chr14	107276088	107283036	3	-0.1001
X8.4	chr15	20170136	25222802	73	-0.1042
X8.4	chr15	25230165	25351709	28	0.0976
X8.4	chr15	25353457	31673463	102	-0.102
X8.4	chr15	31969160	32742571	9	-0.4681
X8.4	chr15	32890918	48819274	192	-0.7912
X8.4	chr15	49054234	49423063	6	-0.1196
X8.4	chr15	49461308	52029495	25	-0.8089
X8.4	chr15	52076161	52301382	4	-0.2775
X8.4	chr15	52403216	65308411	97	-0.7854
X8.4	chr15	65341721	73192170	91	-0.0323
X8.4	chr15	73435718	74955766	28	-0.7698
X8.4	chr15	75014917	77307686	49	-0.0789
X8.4	chr15	77356342	79744745	33	-0.8073
X8.4	chr15	80157824	81645056	21	0.0016
X8.4	chr15	82336300	90393911	102	-0.1171
X8.4	chr15	90405702	102427763	88	-0.0161
X8.4	chr15	102462771	102518028	4	0.3038
X8.4	chr16	62823	227100	14	0.1807
X8.4	chr16	230816	591176	14	-0.0241
X8.4	chr16	593321	1785026	55	-0.1603
X8.4	chr16	1788251	14777465	187	-0.0405
X8.4	chr16	14811498	14916606	3	-0.6207
X8.4	chr16	14958777	89994036	732	-0.0376
X8.4	chr16	90024400	90206715	10	0.1903
X8.4	chr17	18618	18620371	378	-0.0339
X8.4	chr17	18664994	26889645	87	-0.1297
X8.4	chr17	26902207	81045215	985	-0.0246
X8.4	chr18	84355	77960272	398	-0.0753
X8.4	chr19	65865	438789	11	0.0981
X8.4	chr19	469164	5947151	189	-0.066
X8.4	chr19	6096379	18960896	416	0.0192
X8.4	chr19	18993133	35723550	158	-0.0973
X8.4	chr19	35749050	58947885	909	0.0118
X8.4	chr19	58966085	59098019	10	0.3049
