Marker_name	Chromosome	Marker_position
A194	chr6	35453113
A195	chr1	169712813
A196	chr1	6728106
A197	chr1	171073488
A198	chr6	16138917
A199	chrX	100113823
A200	chr1	23845317
A201	chr6	170853317
A202	chrX	47455277
A203	chr6	15384389
A204	chrX	18557726
A205	chr1	209772172
A206	chr1	1644967
A207	chr1	1697283
A208	chr6	50800881
A209	chr6	50711121
A210	chr3	38123106
A211	chr7	6256841
A212	chr7	87697831
A213	chr7	105741985
A214	chr17	61516702
A215	chr17	49118880
A216	chr3	48687125
A217	chr7	121750017
A218	chr12	6428637
A219	chr3	42629969
A220	chr19	4351803
A221	chr12	16631134
A222	chr12	107436374
A223	chr19	46524367
A224	chr19	13158016
A225	chr8	134525637
A226	chr16	3103704
A227	chr16	3123603
A228	chr16	2162305
A229	chr22	51045761
A230	chr17	38196409
A231	chr8	22861321
A232	chr2	37253505
A233	chr3	169700292
A234	chr8	56983461
A235	chr1	115280415
A236	chr7	156996836
A237	chr6	111712576
A238	chrX	123803709
A239	chr1	19016430
A240	chr1	11096935
A241	chr6	150708566
A242	chr1	28071061
A243	chr1	209942522
A244	chr14	77764263
A245	chr6	142507096
A246	chr7	73023198
A247	chr7	72895668
A248	chr6	13666763
A249	chr6	36339291
A250	chr1	231481809
A251	chr1	171766975
A252	chr12	4697347
A253	chr17	30693020
A254	chr3	48642422
A255	chr7	38244048
A256	chr12	6328153
A257	chr3	42739237
A258	chr12	6621821
A259	chr12	6656390
A260	chr19	46179242
A261	chr3	52451165
A262	chr3	52473085
A263	chr3	52508110
A264	chr3	52543932
A265	chr19	50315379
A266	chr12	350914
A267	chrX	148586995
A268	chr9	33774872
A269	chr16	3279273
A270	chr12	6912999
A271	chr12	7003070
A272	chrX	100622809
A273	chr6	26093040
A274	chr1	41600349
A275	chr6	112088095
A276	chr6	143169471
A277	chr1	171236377
A278	chr1	24079097
A279	chr1	24119744
A280	chr1	11884704
A281	chr17	60737860
A282	chr17	49240028
A283	chr5	149585935
A284	chr12	3291125
A285	chr14	93751667
A286	chr19	3756257
A287	chr17	56289884
A288	chr3	43753734
A289	chrX	8598571
A290	chr19	15510405
A291	chr17	49296155
A292	chr17	49356593
A293	chr7	5740524
A294	chr17	15925511
A295	chr19	804701
A296	chr19	38711000
A297	chr11	61315702
A298	chr3	45510455
A299	chr11	17164403
A300	chr19	44162473
A301	chr7	36461407
A302	chr19	15546540
A303	chr9	125785128
A304	chr12	91557962
A305	chr19	46201494
A306	chr19	46873244
A307	chr2	65298819
A308	chr2	39570430
A309	chr19	36201684
A310	chr19	36397250
A311	chr16	21180817
A312	chrX	151477268
A313	chr17	41236906
A314	chr19	45946338
A315	chr19	35824211
A316	chr3	50309983
A317	chrX	21880648
A318	chrX	49036998
A319	chr3	46501930
A320	chr8	28535551
A321	chr12	100912838
A322	chr6	53173071
A323	chr10	45905611
A324	chrY	21886288
A325	chr12	54113216
A326	chr14	93684481
A327	chr14	50956531
A328	chr2	31474596
A329	chr19	40482130
A330	chr4	6600995
A331	chr3	170240617
A332	chr3	170357411
A333	chr17	42399615
A334	chr16	29845535
A335	chr7	151057160
A336	chr6	83887262
A337	chr6	83905874
A338	chr2	201723577
A339	chr12	106827706
A340	chr14	77273088
A341	chr5	141353874
A342	chrX	153635014
A343	chr12	31242252
A344	chr12	13140502
A345	chr12	13057293
A346	chrX	149606068
A347	chr11	60763482
A348	chr4	1735062
A349	chr6	96986311
A350	chr11	65051146
A351	chr8	144571724
A352	chr11	64963757
A353	chr3	132061676
A354	chr2	63825037
A355	chr4	42042481
A356	chr1	149904667
A357	chr10	101481729
A358	chr14	91810927
A359	chr12	42591528
A360	chr10	240491
A361	chrX	48542401
A362	chr16	89692277
A363	chr22	18237221
A364	chr5	138638400
A365	chr7	44566524
A366	chr17	48431976
A367	chr2	110582803
A368	chr8	27104388
A369	chr7	44474599
A370	chr5	50684742
A371	chr3	53863389
A372	chr6	137343703
A373	chr1	86950011
A374	chr1	87029599
A375	chr3	52734276
A376	chr3	130652497
A377	chr17	36724217
A378	chr12	102832034
A379	chrX	48322782
A380	chrX	49021941
A381	chr18	9506560
A382	chr4	71621476
A383	chr12	41276232
A384	chr2	219254184
A385	chr3	149344761
A386	chr2	178332968
A387	chr2	133071595
A388	chrX	118685754
A389	chr1	160099465
A390	chr2	32949608
A391	chr19	56896163
A392	chr11	124619751
A393	chr11	118502948
A394	chr2	119725989
A395	chr20	52780250
A396	chr11	45181649
A397	chr11	45284861
A398	chr8	49832274
A399	chr5	149786846
A400	chr7	81364038
A401	chr10	126653725
A402	chr1	36027974
A403	chr8	37672061
A404	chr7	152143398
A405	chr20	50744524
A406	chr14	61319065
A407	chr14	55146924
A408	chr1	25258807
A409	chr11	94189984
A410	chr11	73365543
A411	chr6	2837403
A412	chr7	99444677
A413	chr19	33341043
A414	chr2	32335693
A415	chr14	79519748
A416	chr11	3148157
A417	chr15	35204886
A418	chr2	211443118
A419	chr1	57413348
A420	chrX	135261538
A421	chr20	55068795
A422	chr5	161300586
A423	chr19	55488504
A424	chr8	142267834
A425	chr12	120993340
A426	chr14	102796379
A427	chr10	114198365
A428	chr11	123447413
A429	chr11	500906
A430	chr2	207001934
A431	chr8	53596709
A432	chr9	102801391
A433	chr3	52240222
A434	chr11	102199174
A435	chr13	42871842
A436	chr1	193070421
A437	chr14	62246110
A438	chr12	16127163
A439	chr12	16045868
A440	chr10	101577219
A441	chr6	35277571
A442	chr1	150129144
A443	chr1	94362863
A444	chr6	42596521
A445	chr19	48231495
A446	chr1	68951369
A447	chr6	139104556
A448	chr6	90098172
A449	chr6	122737477
A450	chr20	34449099
A451	chr12	57163759
A452	chr11	47280123
A453	chr22	50966333
A454	chr22	50954273
A455	chr20	43579949
A456	chr6	108234176
A457	chr1	32607904
A458	chr10	17274925
A459	chr20	62310345
A460	chr10	90762978
A461	chr6	167356835
A462	chr11	35207183
A463	chr20	49629929
A464	chr6	161623052
A465	chr1	160716824
A466	chr6	26408954
A467	chr13	24383943
A468	chr14	61835985
A469	chr1	156819332
A470	chr6	137529603
A471	chr5	177032224
A472	chr1	156781344
A473	chr2	58260920
A474	chr1	12248172
A475	chr12	95654044
A476	chr19	42645500
A477	chr5	871672
A478	chr15	64412305
A479	chr6	134292439
A480	chr12	27531014
A481	chr6	136594495
A482	chr14	69896918
A483	chr8	41632509
A484	chr4	88726903
A485	chr6	155607135
A486	chr17	5237343
A487	chrX	150154115
A488	chr11	47834873
A489	chr6	33544174
A490	chr9	113497455
A491	chr2	213940790
A492	chr17	42426542
A493	chr5	137330649
A494	chr3	119076390
A495	chr15	72097788
A496	chr6	49445955
A497	chr1	109768665
A498	chr19	5947151
A499	chr14	58802854
A500	chr2	3287174
A501	chr19	7612770
A502	chr13	21203044
A503	chr16	5110541
A504	chr12	122971467
A505	chr7	150914619
A506	chr7	150932741
A507	chr1	70325854
A508	chr14	66044074
A509	chr4	68522633
A510	chr11	78027868
A511	chr17	40642745
A512	chr15	68414806
A513	chr3	27470062
A514	chr15	29270073
A515	chr19	4932628
A516	chr17	21203268
A517	chr8	49635609
A518	chr2	85133272
A519	chr3	130739606
A520	chr8	101308867
A521	chr6	143791545
A522	chr16	75606014
A523	chr1	171613190
A524	chr2	242064
A525	chr2	70526164
A526	chr10	75818895
A527	chr5	59944378
A528	chr15	64281733
A529	chr8	59534233
A530	chr1	244593616
A531	chr4	68448750
A532	chr17	76885264
A533	chr4	39328535
A534	chr3	100011969
A535	chr2	225392488
A536	chr8	2053315
A537	chrX	38246250
A538	chr14	100172139
A539	chr1	78088602
A540	chr8	20021541
A541	chr11	119239180
A542	chr3	121953936
A543	chr17	40815173
A544	chr5	172391253
A545	chr5	180052565
A546	chr5	6616378
A547	chr1	16626141
A548	chr5	153509252
A549	chr19	13880221
A550	chr12	58164415
A551	chr12	54405201
A552	chr4	178357790
A553	chr4	25221488
A554	chr4	13599854
A555	chr5	162938231
A556	chr4	166909728
A557	chr16	67912666
A558	chr5	14338023
A559	chr5	82822703
A560	chr16	11157195
A561	chr8	16195193
A562	chr16	68820289
A563	chr5	54662498
A564	chr5	13817546
A565	chr5	79739500
A566	chr16	67566506
A567	chr5	41201938
A568	chr5	34744537
A569	chr5	157075587
A570	chr19	50367813
A571	chr19	12865894
A572	chr16	71715171
A573	chr5	169021210
A574	chr8	74496273
A575	chr1	19647307
A576	chr17	3552299
A577	chr22	20249853
A578	chr17	7140694
A579	chr5	24566148
A580	chr2	99136085
A581	chr18	52473919
A582	chr15	78837175
A583	chr13	109554427
A584	chr3	194377361
A585	chr3	51979622
A586	chr9	117831671
A587	chr1	6690286
A588	chr20	49255355
A589	chr14	90466194
A590	chr10	71875334
A591	chr2	228486421
A592	chr14	88893981
A593	chr11	93532627
A594	chr2	85575477
A595	chr2	85633713
A596	chr19	47347821
A597	chr1	216196487
A598	chr7	50025471
A599	chr8	134013175
A600	chr8	24184042
A601	chr11	129284003
A602	chr3	182679801
A603	chr5	133889460
A604	chr13	100636522
A605	chr5	169699236
A606	chr1	40327953
A607	chr10	115805236
A608	chr1	42620293
A609	chr6	43013519
A610	chr5	138108689
A611	chrX	18956567
A612	chr9	17319450
A613	chr3	89343979
A614	chr9	128000370
A615	chr18	29103488
A616	chrX	14037205
A617	chrX	13770156
A618	chrX	13872953
A619	chrX	141291603
A620	chr8	69006809
A621	chr10	1136857
A622	chr5	112890181
A623	chrX	16668592
A624	chr8	54692117
A625	chr4	57870611
A626	chr15	52937764
A627	chr4	36097987
A628	chr1	186312804
A629	chr3	148910019
A630	chr16	27676572
A631	chr6	15593160
A632	chrX	37568197
A633	chr12	5848216
A634	chr12	4622284
A635	chrX	17764346
A636	chrX	10048060
A637	chrX	11410030
A638	chr4	17707032
A639	chr3	48011475
A640	chr6	117781532
A641	chr6	117678240
A642	chr11	113707444
A643	chr7	18584305
A644	chr5	176080223
A645	chr5	175813462
A646	chr4	15537334
A647	chr8	103234038
A648	chr7	127029411
A649	chr16	12060444
A650	chr16	12369370
A651	chr12	16732417
A652	chr6	42180071
A653	chr6	42135469
A654	chr11	77451552
A655	chr1	12431111
A656	chr10	11212966
A657	chr9	96271200
A658	chr2	136385932
A659	chr1	40774823
A660	chr12	88930599
A661	chr5	60205279
A662	chr5	64611155
A663	chr1	9313115
A664	chr1	7836410
A665	chr1	7874808
A666	chr1	7908357
A667	chr1	7990416
A668	chr17	48615507
A669	chr2	31776843
A670	chr2	33398307
A671	chr11	31980620
A672	chr7	73463178
A673	chr7	73657301
A674	chr6	157315488
A675	chr5	1331536
A676	chr18	55890185
A677	chrX	49114092
A678	chrX	49142117
A679	chr5	73977160
A680	chr5	71636123
A681	chrX	74048983
A682	chr14	59961644
A683	chr11	12007984
A684	chr7	144065053
A685	chr7	26209302
A686	chr6	13800794
A687	chr12	50623450
A688	chr12	51447976
A689	chr12	51844040
A690	chr9	133927164
A691	chr1	71415763
A692	chr4	122100592
A693	chr5	179689621
A694	chr5	177841087
A695	chr16	75282439
A696	chr11	6244253
A697	chr16	56971879
A698	chr19	19046040
A699	chr15	41005663
A700	chr3	121207565
A701	chr3	138463320
A702	chr16	88713625
A703	chr5	175403279
A704	chr6	138734001
A705	chr12	123682714
A706	chr12	19405991
A707	chr16	31144919
A708	chr1	115317703
A709	chr10	99138621
A710	chr4	159759745
A711	chr4	166256543
A712	chr11	43448482
A713	chr11	44306855
A714	chr5	132740201
A715	chr14	89838354
A716	chr6	110623303
A717	chr1	19634549
A718	chr1	19582327
A719	chr20	36150854
A720	chr19	17328396
A721	chr3	183021198
A722	chr12	2939612
A723	chr18	21402218
A724	chr14	57746212
A725	chr4	25399477
A726	chr11	2668126
A727	chr1	36608635
A728	chr1	36730487
A729	chr9	139744332
A730	chr9	139945523
A731	chr2	160694811
A732	chr1	235393241
A733	chr1	241797041
A734	chr1	243541357
A735	chr2	220164357
A736	chr1	210675617
A737	chr1	10356262
A738	chr6	1612404
A739	chr22	47364927
A740	chr14	64506424
A741	chr14	68028173
A742	chr20	50299113
A743	chr20	55911932
A744	chr20	54576512
A745	chr11	74424952
A746	chr11	73210383
A747	chr11	73097914
A748	chr14	88382086
A749	chr2	203149414
A750	chr1	16701855
A751	chr7	150658726
A752	chr7	148446567
A753	chr5	153394092
A754	chr5	156757847
A755	chr6	149636263
A756	chr6	149900157
A757	chr2	37355280
A758	chr17	76810493
A759	chr7	151982550
A760	chr1	85498973
A761	chr2	56512283
A762	chr2	20500223
A763	chr10	102738243
A764	chr3	52856243
A765	chr3	52818840
A766	chr4	170664860
A767	chr5	32399661
A768	chrX	129369779
A769	chr4	72955652
A770	chr22	45341461
A771	chr9	123678061
A772	chr9	125637227
A773	chr17	36898110
A774	chr3	53890217
A775	chr6	111902569
A776	chrX	2773844
A777	chr3	98567659
A778	chr18	61325814
A779	chr1	179295370
A780	chr12	32996726
A781	chr1	76320745
A782	chr13	113767550
A783	chr10	5845640
A784	chr6	106546004
A785	chr6	106703008
A786	chr12	95002619
A787	chr1	24109808
A788	chr2	42852898
A789	chr3	179438866
A790	chr3	182575355
A791	chr1	183184704
A792	chr7	90467821
A793	chr3	127780505
A794	chr12	80248291
A795	chr15	79317702
A796	chr7	44315462
A797	chr1	17183121
A798	chr16	22327577
A799	chr1	203654449
A800	chr1	203794017
A801	chr5	96507767
A802	chr1	54336899
A803	chr1	54267833
A804	chr3	185951741
A805	chr16	2981573
A806	chr16	1438979
A807	chr7	139598487
A808	chr7	139743532
A809	chr10	97391079
A810	chr1	234570954
A811	chr4	152636915
A812	chr2	70147448
A813	chr12	96733188
A814	chr9	114413070
A815	chr12	8080348
A816	chr10	104171836
A817	chr18	77477155
A818	chr12	10863797
A819	chr12	10799227
A820	chr12	941188
A821	chr6	50825171
A822	chr10	70516451
A823	chr20	61440769
A824	chr19	3149979
A825	chr19	4163324
A826	chr1	27119426
A827	chr1	29608176
A828	chr1	31751039
A829	chr12	131040754
A830	chr1	103458037
A831	chr11	32964793
A832	chr6	166787446
A833	chr3	38161676
A834	chr12	25033344
A835	chr12	48201710
A836	chr8	20132575
A837	chr5	122477388
A838	chr5	137423817
A839	chr20	34206392
A840	chr2	183838714
A841	chr12	27886467
A842	chr4	156704443
A843	chr12	132239954
A844	chr3	195614525
A845	chr12	62925980
A846	chr16	68713305
A847	chrX	2995139
A848	chr5	56515140
A849	chr11	75491568
A850	chr19	44851042
A851	chr12	56679829
A852	chr15	41800960
A853	chr7	43907824
A854	chr20	45028196
A855	chr10	88238292
A856	chr17	57852084
A857	chr17	58562050
A858	chr19	50904367
A859	chr17	27307688
A860	chr12	53417967
A861	chr19	49810688
A862	chr19	48158993
A863	chr19	49128261
A864	chr19	49120689
A865	chr19	49145384
A866	chr19	55969031
A867	chr19	56175796
A868	chr19	56203908
A869	chr19	39886610
A870	chr5	371348
A871	chr22	19136942
A872	chrX	152612590
A873	chrX	149897505
A874	chr2	241391290
A875	chr14	78333890
A876	chr16	1861408
A877	chr4	2545497
A878	chr2	202125300
A879	chr4	41531842
A880	chr12	27074686
A881	chr12	27146747
A882	chr17	48069978
A883	chr11	124555554
A884	chr11	2331328
A885	chr20	43350317
A886	chr9	984347
A887	chr3	98495562
A888	chr16	84449963
A889	chr17	47582517
A890	chr11	125879460
A891	chr8	120794059
A892	chr7	139361946
A893	chr7	128645073
A894	chr19	19279671
A895	chr19	19307843
A896	chr19	19239650
A897	chr19	19737108
A898	chr20	44523121
A899	chr19	19123264
A900	chr5	127472419
A901	chr5	122272091
A902	chr20	45670377
A903	chr19	1032683
A904	chr19	1052836
A905	chr5	121723481
A906	chr1	112304252
A907	chr15	83710640
A908	chr12	29397974
A909	chr20	52620310
A910	chr3	87317145
A911	chr1	111764727
A912	chr19	1140959
A913	chr2	190695731
A914	chr19	3575930
A915	chr2	188260521
A916	chr6	34850710
A917	chr6	34958110
A918	chr19	2132726
A919	chr6	35245224
A920	chr16	2082192
A921	chr16	2093841
A922	chr6	34805386
A923	chr1	110114104
A924	chr13	98641231
A925	chr10	126096708
A926	chr1	118490754
A927	chr1	89225921
A928	chr19	988871
A929	chr6	52401956
A930	chr17	9036088
A931	chr17	9760471
A932	chr10	13228329
A933	chr12	56334457
A934	chr12	56485465
A935	chr3	123699196
A936	chr2	198003819
A937	chr16	75672081
A938	chr16	75644038
A939	chr3	122864991
A940	chr6	37263147
A941	chr3	120318251
A942	chr1	16220657
A943	chr3	123466037
A944	chr2	187362486
A945	chr17	11985644
A946	chr1	212562758
A947	chr6	84341004
A948	chr10	105757975
A949	chr6	84623252
A950	chr10	105818402
A951	chr10	106046667
A952	chr10	12191798
A953	chr10	6545684
A954	chr19	3022634
A955	chr2	239348137
A956	chr10	14688726
A957	chr6	84030452
A958	chr4	38016752
A959	chr7	40063184
A960	chr2	74435190
A961	chrX	46541621
A962	chr12	8196699
A963	chr1	43158059
A964	chr19	10553877
A965	chr1	212497039
A966	chr2	80144131
A967	chr19	8047003
A968	chr1	43777721
A969	chr12	51020609
A970	chr12	50486625
A971	chr1	44143507
A972	chr1	41197297
A973	chr1	42908969
A974	chr5	498936
A975	chr2	233810689
A976	chr1	197084541
A977	chr1	160530095
A978	chr1	43831382
A979	chr11	47388269
A980	chr6	30029681
A981	chr11	30507229
A982	chr3	137735035
A983	chr3	101382036
A984	chr14	92548930
A985	chr14	93283442
A986	chr10	123297910
A987	chr1	70640895
A988	chr5	128440082
A989	chr14	100306213
A990	chr6	126333999
A991	chr16	20749196
A992	chr9	103201474
A993	chr14	104626145
A994	chr14	96788901
A995	chr8	68170829
A996	chr16	20567648
A997	chr8	135607661
A998	chr8	66620232
A999	chr7	99797148
A1000	chr18	55234759
A1001	chr15	72262775
A1002	chrY	15024204
A1003	chr10	3144214
A1004	chr10	1090479
A1005	chr2	231344731
A1006	chr10	3822830
A1007	chr5	54775780
A1008	chr15	73470799
A1009	chr8	71503149
A1010	chrX	71866415
A1011	chr12	6444601
A1012	chr17	37341832
A1013	chr1	93116107
A1014	chr15	74281255
A1015	chr15	72507767
A1016	chr5	54577811
A1017	chr1	94339423
A1018	chr16	8727810
A1019	chr15	43751166
A1020	chrX	54952379
A1021	chr1	218484977
A1022	chr3	49423504
A1023	chr17	41591532
A1024	chr7	66760211
A1025	chr1	2049371
A1026	chrY	2826829
A1027	chr1	220294412
A1028	chr12	79551780
A1029	chr12	78415737
A1030	chrX	153055599
A1031	chr16	4849960
A1032	chrX	153081820
A1033	chrX	152815765
A1034	chr18	18609339
A1035	chr16	67098990
A1036	chrX	24520646
A1037	chr3	50357779
A1038	chr2	240146606
A1039	chr3	50372815
A1040	chr4	1802816
A1041	chr17	41162607
A1042	chr17	58138423
A1043	chr17	40715890
A1044	chr17	40824490
A1045	chr15	100137020
A1046	chrX	48797476
A1047	chrX	48893627
A1048	chrX	48409421
A1049	chrX	108922052
A1050	chr10	134474151
A1051	chrX	48975242
A1052	chrX	48844404
A1053	chrX	48339646
A1054	chr17	57257463
A1055	chr2	86503161
A1056	chr13	113443062
A1057	chr2	86290308
A1058	chr2	20242100
A1059	chr2	47223286
A1060	chr3	48751611
A1061	chr2	48880359
A1062	chr2	45727561
A1063	chr15	22949010
A1064	chr5	61717532
A1065	chr11	64503655
A1066	chr2	54144590
A1067	chr3	160046221
A1068	chr19	39379849
A1069	chr2	54030068
A1070	chr11	64693485
A1071	chr11	64520815
A1072	chrX	49456324
A1073	chr5	134366964
A1074	chr5	135640864
A1075	chr5	66178799
A1076	chr6	46871464
A1077	chr17	71485375
A1078	chr8	24341463
A1079	chr1	229610574
A1080	chr1	205700675
A1081	chr16	46706742
A1082	chr16	46998499
A1083	chr19	45257131
A1084	chr1	6106389
A1085	chr12	22022335
A1086	chr11	68454945
A1087	chr12	9832989
A1088	chrX	44392566
A1089	chrX	43683775
A1090	chr15	61151000
A1091	chr11	638999
A1092	chr1	92258897
A1093	chr1	92641411
A1094	chr16	14777465
A1095	chr1	6478604
A1096	chr3	141620161
A1097	chr15	56202532
A1098	chr15	55629502
A1099	chr15	52301382
A1100	chr15	52448341
A1101	chr15	55553237
A1102	chr22	17632289
A1103	chr22	19452085
A1104	chr12	12344452
A1105	chr12	14807547
A1106	chr11	626787
A1107	chr11	594354
A1108	chr9	111663096
A1109	chr11	17300610
A1110	chr3	149725633
A1111	chr9	112199168
A1112	chr14	65279801
A1113	chr4	100764650
A1114	chr5	44346727
A1115	chr9	108104177
A1116	chr14	57036198
A1117	chr17	2085099
A1118	chr14	57703122
A1119	chr22	19223112
A1120	chr19	641791
A1121	chr19	679888
A1122	chr22	19066881
A1123	chr19	655401
A1124	chr17	2295883
A1125	chr3	126175603
A1126	chr17	74715892
A1127	chr8	42212649
A1128	chr17	74630381
A1129	chr17	66435371
A1130	chr9	37698949
A1131	chr9	35743423
A1132	chr5	149901577
A1133	chr7	97491642
A1134	chr8	42019827
A1135	chr16	57961261
A1136	chr17	74571415
A1137	chr10	50859533
A1138	chr8	101716540
A1139	chr1	45883213
A1140	chr16	58155425
A1141	chr16	58211817
A1142	chr14	88976599
A1143	chr1	45384366
A1144	chr5	149634454
A1145	chr5	149758536
A1146	chr1	22399278
A1147	chr7	24928705
A1148	chr1	22910072
A1149	chr16	56924440
A1150	chr3	8911272
A1151	chr12	90042452
A1152	chr11	2435010
A1153	chr2	106436042
A1154	chr2	102412230
A1155	chr2	99291579
A1156	chr2	101629335
A1157	chr4	10097268
A1158	chr7	17905254
A1159	chr11	60267577
A1160	chr4	148823572
A1161	chr6	167071395
A1162	chr7	120604036
A1163	chr14	77238943
A1164	chr3	8576599
A1165	chr7	73108423
A1166	chr14	81969049
A1167	chr5	906115
A1168	chrX	153660920
A1169	chr19	1630947
A1170	chr2	12869937
A1171	chr19	1421643
A1172	chr19	1584760
A1173	chr2	238475517
A1174	chr3	148776127
A1175	chrX	153675737
A1176	chrX	153738958
A1177	chr8	145626598
A1178	chr2	171273168
A1179	chr2	172396700
A1180	chr18	64219847
A1181	chr6	170889081
A1182	chr12	85280443
A1183	chr14	68153024
A1184	chr19	14215698
A1185	chr19	14288874
A1186	chr2	234972550
A1187	chr14	69393508
A1188	chr14	68238699
A1189	chrX	83380958
A1190	chr17	19179478
A1191	chr2	131123281
A1192	chr2	128417658
A1193	chr2	220391193
A1194	chr2	220331288
A1195	chr4	54446520
A1196	chr17	19566180
A1197	chr3	195781557
A1198	chr17	17727019
A1199	chrX	111171773
A1200	chr5	132255198
A1201	chr10	60112624
A1202	chr14	67755181
A1203	chr10	62695197
A1204	chr10	48028310
A1205	chrX	53425373
A1206	chrX	53459763
A1207	chr11	63642445
A1208	chr5	162903078
A1209	chr12	133465831
A1210	chr12	72770234
A1211	chr5	131579269
A1212	chr1	161599772
A1213	chr16	68190908
A1214	chr3	3180581
A1215	chr17	7124518
A1216	chr5	171542233
A1217	chr5	171361215
A1218	chr17	7247322
A1219	chr4	5822298
A1220	chr4	5771848
A1221	chr17	5382351
A1222	chr3	113299784
A1223	chr16	15778667
A1224	chr11	10655086
A1225	chr19	16786389
A1226	chr19	16327274
A1227	chr19	45156974
A1228	chrX	153783098
A1229	chr19	44065908
A1230	chr12	125314308
A1231	chr7	1026055
A1232	chr3	127329171
A1233	chr22	50564213
A1234	chr22	50613941
A1235	chr3	189482136
A1236	chr4	113285220
A1237	chr17	73546225
A1238	chr15	85603023
A1239	chrX	10165362
A1240	chr17	33462553
A1241	chr5	237585
A1242	chr17	38792987
A1243	chr17	33453174
A1244	chr17	38068477
A1245	chr12	443957
A1246	chr17	42847806
A1247	chr3	135775624
A1248	chr14	53371569
